kabupaten,n_villages,mean_TRI,mean_PAI,mean_FFAS_count,mean_DIS,n_ffas_terrain,n_dis_terrain,n_both_terrain,n_immediate_priority,n_channel_divergent
BANTUL,75,2.3067481905211054,0.17319082048755877,0.6982409611362167,0.5715297613189775,0,7,0,1,27
GUNUNGKIDUL,144,3.5193427253706493,-0.7605402887163328,-1.0160794099456043,-0.9059775058823399,3,36,3,43,47
KULON PROGO,88,3.018829561041939,-0.3976792724677411,-0.0323740174483075,-0.18922307663648905,4,16,4,3,42
SLEMAN,86,1.8502113256630062,0.2638414475547046,0.6873313138067223,0.6738371824518825,0,5,0,1,25
YOGYAKARTA,45,1.360822699245846,2.418531144795126,0.8374618554449722,1.0288369289173724,0,0,0,3,15
