village_id,TRI,TRI_c,TRI_percentile_DIY,PAI,PAI_percentile_DIY
3402050003,1.8588203930903373,-0.802831806880504,47.6,-1.080924698,14.87
3402050002,1.956207869781457,-0.7054443301893842,52.86,-0.590153892,27.23
3402050001,1.8760460386080289,-0.7856061613628125,48.74,0.036610901,54.46
3402070001,1.879898663344188,-0.7817535366266533,49.66,0.8665896080871927,82.84
3402070002,1.8154021298857048,-0.8462500700851365,45.31,0.840707054,82.38
3402070005,1.2650069862424764,-1.396645213728365,5.49,0.4306237251222966,75.97
3402070004,1.675572529790624,-0.9860796701802172,35.7,0.6750742780827836,80.78
3402070003,1.942115225057042,-0.7195369749137994,52.17,1.395656688991537,88.33
3402130004,1.4032879419528166,-1.2583642580180248,17.62,1.2146440742797413,86.04
3402130001,1.3274486641957135,-1.3342035357751278,8.92,1.610682971769863,89.93
3402130006,1.3692247400840578,-1.2924274598867835,13.73,0.3908416126016006,74.37
3402130003,1.645322387044849,-1.0163298129259923,33.64,2.507893308287162,95.88
3402130008,1.3302064714399884,-1.331445728530853,9.84,2.4832305441585127,95.65
3402130007,1.3211752787607518,-1.3404769212100895,8.24,1.3177133550696047,87.41
3402130002,1.4769377121078069,-1.1847144878630345,22.2,0.045532646,55.38
3402130005,1.6112542747840872,-1.050397925186754,31.58,-0.12891056,45.77
3402100004,2.804608889068533,0.1429566890976916,67.96,-0.288757767,38.44
3402100006,3.778943002640657,1.1172908026698156,75.74,0.3039702848801162,70.02
3402100001,5.109595140400655,2.447942940429814,90.62,-1.220490528,12.59
3402100002,4.646918991368279,1.985266791397438,84.44,-0.683440695,24.71
3402100005,3.615349855,0.9536976550291584,74.14,-2.069135062,4.35
3402100003,4.749572930698736,2.087920730727895,86.04,-1.958839004,5.03
3402090002,4.640734312737728,1.979082112766887,84.21,-1.053457669,15.56
3402090008,4.668275947716476,2.006623747745635,84.9,-0.560976989,28.38
3402090006,1.4906224867700506,-1.1710297132007907,22.88,0.4328745969469207,76.43
3402090004,2.7256448284657178,0.0639926284948764,66.13,-1.740934235,5.95
3402090003,1.5574899594347733,-1.104162240536068,28.38,-0.177910849,43.71
3402090001,5.012448728668493,2.350796528697652,89.24,-1.028185264,16.7
3402090005,4.344987954450662,1.6833357544798209,81.92,-0.538823742,29.98
3402090007,1.6586605432700678,-1.0029916567007735,34.32,1.1009741998292557,84.67
3402080003,1.3499223845703467,-1.3117298154004946,11.9,0.753386313,81.46
3402080001,1.740560541306363,-0.9210916586644784,39.36,0.5167249989062589,78.72
3402080004,1.6770744770444994,-0.984577722926342,35.93,0.427914959,75.51
3402080002,1.6117301287458308,-1.0499220712250106,31.81,0.081069159,56.75
3402150003,1.8491908037067315,-0.8124613962641098,46.91,2.0659009658457554,92.68
3402150002,1.392194801840439,-1.2694573981304025,16.93,1.1867388592897106,85.58
3402150004,1.3613630238541337,-1.3002891761167077,13.5,1.2096723111178371,85.81
3402150001,2.2697630940611133,-0.391889105909728,60.64,0.359131176,72.54
3402030002,3.0071510721970767,0.3454988722262353,69.34,0.6790367455620768,81.01
3402030001,1.6214905803813284,-1.040161619589513,32.49,-0.026723862,50.8
3402030005,1.9865234864627723,-0.675128713508069,54.46,0.009582665,52.63
3402030004,2.008708047,-0.6529441529708415,55.38,-0.360381621,34.78
3402030003,2.085418894193121,-0.5762333057777203,56.75,0.394891056,74.83
3402160002,2.073140710282524,-0.5885114896883175,56.52,0.1736980127822907,63.62
3402160001,2.787857070768516,0.1262048707976748,67.73,-0.065280785,48.74
3402160003,2.271225914383009,-0.3904262855878322,60.87,0.6706480770794044,80.55
3402060004,1.6897688162888933,-0.971883383681948,36.61,0.3022852405402365,69.79
3402060002,1.8023577734212988,-0.8592944265495426,44.62,-0.54259181,29.75
3402060001,1.769335583645921,-0.8923166163249203,42.33,-0.003140022,51.95
3402060003,2.1480437972161623,-0.513608402754679,57.89,-0.788694529,21.51
3402120003,3.999113726067302,1.3374615260964609,76.66,0.1083068695564462,59.27
3402120002,4.128205527423937,1.4665533274530955,78.72,0.1662402180742418,62.93
3402120001,2.6788345904008213,0.0171823904299799,64.99,-0.341759139,35.47
3402110001,1.3701587542522045,-1.291493445718637,13.96,0.2562057329950736,67.96
3402110005,5.000793556231746,2.3391413562609045,89.02,-0.116919432,47.37
3402110002,1.6648880533725334,-0.996764146598308,34.55,0.3202671440005517,70.71
3402110003,2.7297213615641893,0.0680691615933479,66.59,0.180909114885174,64.53
3402110004,3.625646672259508,0.9639944722886667,74.6,-0.640796023,25.86
3402040003,1.9769776273266908,-0.6846745726441505,54.0,0.3637452325391413,73.0
3402040002,1.9492273584845223,-0.712424841486319,52.4,-0.300369641,37.99
3402040001,4.816083401,2.154431201029159,86.73,-0.490230976,31.12
3402020004,1.7516044168844087,-0.9100477830864326,40.27,0.089804358,56.98
3402020003,1.592333421353754,-1.0693187786170872,30.66,0.3671501508980379,73.23
3402020002,1.618456770628254,-1.0431954293425874,32.27,0.4423415009170413,77.12
3402020001,1.5298624943339318,-1.1317897056369095,25.17,-0.151053975,45.54
3402170002,2.3464791974684203,-0.3151730025024211,62.47,0.1221403003803896,59.95
3402170003,1.969243139191698,-0.6924090607791433,53.55,0.3324631212414198,70.94
3402170001,2.3196238659122166,-0.3420283340586247,61.56,0.1077874999562242,59.04
3402170004,1.9534896347749608,-0.7081625651958805,52.63,0.073942612,56.29
3402140004,1.2207654764616325,-1.4408867235092089,4.12,1.373587018503374,88.1
3402140001,1.737158934807001,-0.9244932651638404,38.9,-0.119809657,46.68
3402140002,1.3113777893350786,-1.3502744106357627,7.78,0.427771703,75.29
3402140003,1.3292328573340215,-1.3324193426368198,9.38,0.7607211101784939,81.69
3402010001,1.4874857849832277,-1.1741664149876136,22.65,0.2486308602111407,67.28
3402010002,1.838747999,-0.8229042009708414,46.22,-0.168310973,44.85
3403090006,1.7657692170377164,-0.895882982933125,41.88,0.5363992452618788,79.18
3403090008,1.4627869225608587,-1.1988652774099826,21.51,0.3859035445191719,74.14
3403090004,1.846738814,-0.8149133859708413,46.68,-0.312073599,37.07
3403090010,1.4411692470921094,-1.220482952878732,20.59,1.035848881200177,83.75
3403090003,1.5053516315351487,-1.1563005684356926,23.8,0.1807496039197946,64.3
3403090014,1.7520978584895266,-0.9095543414813148,40.5,-0.188110499,43.02
3403090007,1.602408290196493,-1.0592439097743485,30.89,0.5324078386542737,78.95
3403090013,1.7995980165220078,-0.8620541834488336,44.16,0.1051872205252794,58.35
3403090011,1.4979614980682605,-1.1636907019025808,23.57,1.2511231978894246,86.27
3403090002,2.436670806527258,-0.2249813934435831,63.62,0.4210258229163708,75.06
3403090012,1.3816655141941343,-1.279986685776707,15.33,-0.1193167,46.91
3403090005,1.7260668712892824,-0.935585328681559,38.44,-0.759031275,22.88
3403090009,1.4052804171714113,-1.25637178279943,17.85,-0.126146278,46.0
3403090001,2.804897835205708,0.1432456352348667,68.19,-1.587214054,7.32
3403130001,2.1856826855226617,-0.4759695144481797,58.81,-0.933897195,17.85
3403130007,4.880587099,2.218934899029159,88.1,-1.576621506,7.55
3403130002,1.9335086801643075,-0.7281435198065338,51.49,-3.210308207,0.92
3403130003,4.057895878638341,1.3962436786674997,77.57,-1.672286206,6.64
3403130006,5.382668375434218,2.7210161754633764,93.59,-3.003914545,1.14
3403130005,2.3155801848637534,-0.3460720151070879,61.33,-3.238056723,0.69
3403130004,3.4428123851875885,0.7811601852167471,72.08,-2.924363622,1.37
3403100012,2.750676012189974,0.0890238122191324,67.05,-1.147157995,13.73
3403100009,1.781358605166171,-0.8802935948046704,42.79,0.092395896,57.44
3403100001,3.778688256969169,1.1170360569983275,75.51,-1.035239491,16.25
3403100003,2.293385316720425,-0.3682668832504165,61.1,-2.218091379,3.43
3403100005,1.8426655548949828,-0.8189866450758585,46.45,-0.291276113,38.22
