village_id,channel,gap,gap_terrain,gap_residual,dominance_margin,ci_lo_terrain,ci_hi_terrain,ci_lo_residual,ci_hi_residual,ci_lo_dominance,ci_hi_dominance,pr_terrain_abs_dominates,pr_residual_abs_dominates,pr_terrain_positive,pr_residual_positive,constraint_class,constraint_class_short,constraint_reason,constraint_class_idn
3401010001,DIS,0.8279571742113946,-0.3316613221086773,1.159618496320072,-0.8279571742113947,-0.4549117013930444,-0.2209265038534229,1.0488836780648176,1.282868875604439,-0.8279571742113947,-0.8279571742113945,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010001,FFAS,2.323817968363735,-0.2665642296477014,2.5903821980114365,-2.323817968363735,-0.4482034965107399,-0.1001454780988881,2.4239634464626234,2.772021464874475,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010002,DIS,-0.7862575250936222,-0.3624093776313729,-0.4238481474622493,-0.0614387698308764,-0.4970862008596232,-0.2414084230706843,-0.5448491020229379,-0.2891713242339991,-0.3034406789522534,0.2079148766256238,0.348,0.652,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3401010002,FFAS,2.323817968363735,-0.2912771858690071,2.6150951542327423,-2.323817968363735,-0.4897560836757355,-0.1094298851601447,2.43324785352388,2.8135740520394705,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010003,DIS,-1.0386462714580311,-0.427267560351957,-0.6113787111060743,-0.1841111507541173,-0.5860466683120622,-0.2846118073653713,-0.7540344640926601,-0.4525996031459692,-0.4694226567272887,0.1334470651660929,0.155,0.845,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3401010003,FFAS,1.770003089443373,-0.3434052766675995,2.1134083661109724,-1.7700030894433727,-0.5774047250303425,-0.1290138802907243,1.8990169697340973,2.347407814473715,-1.7700030894433731,-1.7700030894433727,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010004,DIS,0.8279571742113946,-0.4506265052864376,1.2785836794978322,-0.8279571742113946,-0.6180861515877426,-0.3001716863565924,1.128128860567987,1.4460433257991372,-0.8279571742113947,-0.8279571742113945,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010004,FFAS,1.770003089443373,-0.3621794259179682,2.1321825153613414,-1.7700030894433731,-0.6089717486672,-0.136067137792914,1.9060702272362868,2.3789748381105733,-1.7700030894433731,-1.7700030894433727,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010005,DIS,-0.7862575250936222,-0.3658379428365842,-0.420419582257038,-0.0545816394204538,-0.5017888729135223,-0.2436922616539866,-0.5425652634396356,-0.2844686521801001,-0.2988730017856489,0.2173202207334219,0.364,0.636,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3401010005,FFAS,2.323817968363735,-0.2940328066839799,2.6178507750477147,-2.323817968363735,-0.4943894093322232,-0.110465143958144,2.434283112321879,2.818207377695958,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010006,DIS,1.0803459205758037,-0.2413149122812564,1.3216608328570598,-1.0803459205758037,-0.3309911949317032,-0.1607448814321619,1.2410908020079656,1.4113371155075067,-1.0803459205758037,-1.0803459205758037,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010006,FFAS,0.4153231987667778,-0.193950633995476,0.609273832762254,-0.4153231987667779,-0.3261103427948129,-0.0728652865192368,0.4881884852860146,0.7414335415615907,-0.4153231987667779,-0.4153231987667778,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010007,DIS,0.8279571742113946,-0.2501986772635148,1.0781558514749094,-0.8279571742113947,-0.3431763017664726,-0.1666625420327631,0.9946197162441576,1.171133475977867,-0.8279571742113947,-0.8279571742113945,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010007,FFAS,2.323817968363735,-0.2010907308684269,2.524908699232162,-2.323817968363735,-0.3381157659834811,-0.0755477485133276,2.3993657168770626,2.6619337343472163,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3401010008,DIS,-1.0386462714580311,-0.2910330820145571,-0.7476131894434743,-0.4565801074289172,-0.3991853908654479,-0.193863188225771,-0.8447830832322603,-0.6394608805925837,-0.6509198950064893,-0.2402754897271358,0.001,0.999,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
