village_id,component,z_value
3401010014,warung_makan,-0.7799783112768488
3401010015,industri_mikro,-1.1015258744762095
3401010015,kelompok_pertokoan,-0.8182350273038316
3401010015,minimarket,-0.6826915362471208
3401010015,pasar_permanen,-0.7314875991867019
3401010015,pasar_semi_permanen,-0.6354889093022426
3401010015,restoran,-0.6550460549304316
3401010015,sentra_industri,-0.7105928641998783
3401010015,toko_kelontong,-1.0226240038114454
3401010015,warung_makan,-0.8311640227595327
3401020001,industri_mikro,-0.7295185740529353
3401020001,kelompok_pertokoan,-0.8182350273038316
3401020001,minimarket,-0.957272705095825
3401020001,pasar_permanen,-0.7314875991867019
3401020001,pasar_semi_permanen,-0.6354889093022426
3401020001,restoran,-0.4864043268051572
3401020001,sentra_industri,-0.7105928641998783
3401020001,toko_kelontong,-0.69836706961777
3401020001,warung_makan,-0.5752354653461133
3401020002,industri_mikro,-0.9507121040343416
3401020002,kelompok_pertokoan,-0.8182350273038316
3401020002,minimarket,-0.1335291985497123
3401020002,pasar_permanen,-0.7314875991867019
3401020002,pasar_semi_permanen,-0.6354889093022426
3401020002,restoran,0.0195208575706656
3401020002,sentra_industri,-0.7105928641998783
3401020002,toko_kelontong,-0.7944431982677479
3401020002,warung_makan,-0.7629164074492875
3401020003,industri_mikro,-0.9104950985831768
3401020003,kelompok_pertokoan,-0.8182350273038316
3401020003,minimarket,-0.6826915362471208
3401020003,pasar_permanen,-0.7314875991867019
3401020003,pasar_semi_permanen,-0.6354889093022426
3401020003,restoran,-0.6550460549304316
3401020003,sentra_industri,-0.7105928641998783
3401020003,toko_kelontong,-0.7584146500240062
3401020003,warung_makan,-0.7629164074492875
3401020004,industri_mikro,-0.6490845631506057
3401020004,kelompok_pertokoan,-0.8182350273038316
3401020004,minimarket,-0.4081103673984165
3401020004,pasar_permanen,-0.7314875991867019
3401020004,pasar_semi_permanen,-0.6354889093022426
3401020004,restoran,-0.4864043268051572
3401020004,sentra_industri,-0.7105928641998783
3401020004,toko_kelontong,-0.7223861017802644
3401020004,warung_makan,-0.4558021385531842
3401020005,industri_mikro,-1.011037612211089
3401020005,kelompok_pertokoan,-0.8182350273038316
3401020005,minimarket,0.4156331391476961
3401020005,pasar_permanen,-0.7314875991867019
3401020005,pasar_semi_permanen,-0.6354889093022426
3401020005,restoran,0.0195208575706656
